date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:57:47	127772/127772	---M--	200	added ('OK')	image/png	etag:%22e660c8bce6486055153654355a73dd37333b2406%22	https://cdn.dribbble.com/users/4859/screenshots/17505115/netfire_dr_1x.png	C:/Mes%20Sites%20Web/Exercice%20Ecole%20241/cdn.dribbble.com/users/4859/screenshots/17505115/netfire_dr_1x.png	(from https://cuberto.com/)
22:57:48	79659/79659	---M--	200	added ('OK')	image/png	etag:%2237d6ca041e30f01c9b1e27cec04e2941b2e0d7e4%22	https://cdn.dribbble.com/users/4859/screenshots/17467711/act4_2_dr_1x.png	C:/Mes%20Sites%20Web/Exercice%20Ecole%20241/cdn.dribbble.com/users/4859/screenshots/17467711/act4_2_dr_1x.png	(from https://cuberto.com/)
22:57:49	94280/94280	---M--	200	added ('OK')	image/png	etag:%220060baf2e80b3f665a1b9b331adefb25135a5fde%22	https://cdn.dribbble.com/users/4859/screenshots/17449156/flwr_top_1600_1200_1x.png	C:/Mes%20Sites%20Web/Exercice%20Ecole%20241/cdn.dribbble.com/users/4859/screenshots/17449156/flwr_top_1600_1200_1x.png	(from https://cuberto.com/)
22:57:49	35061/35061	---M--	200	added ('OK')	image/jpeg	date:Thu,%2003%20Feb%202022%2010:26:26%20GMT	https://scontent.cdninstagram.com/v/t51.29350-15/273350401_1159281244837981_1212373606475478645_n.jpg?_nc_cat=102&ccb=1-5&_nc_sid=8ae9d6&_nc_ohc=55gGicuQyMoAX8BE60R&_nc_ht=scontent.cdninstagram.com&edm=ANo9K5cEAAAA&oh=00_AT_CyM4cplpA2hlHmfMs5OsWvub5HpbwixIVwg4qGEOcZQ&oe=622967F6	C:/Mes%20Sites%20Web/Exercice%20Ecole%20241/scontent.cdninstagram.com/v/t51.29350-15/273350401_1159281244837981_1212373606475478645_n2bcd.jpg	(from https://cuberto.com/)
22:57:50	104847/104847	---M--	200	added ('OK')	image/png	etag:%22815eb155fc9158668818b2a70ac3afb23704ae4a%22	https://cdn.dribbble.com/users/4859/screenshots/17420768/filefpundry2_dr_1x.png	C:/Mes%20Sites%20Web/Exercice%20Ecole%20241/cdn.dribbble.com/users/4859/screenshots/17420768/filefpundry2_dr_1x.png	(from https://cuberto.com/)
22:57:51	42491/42491	---M--	200	added ('OK')	image/jpeg	etag:%22836eac6055ed09d6ad1180c3afa45f14234013d9%22	https://cdn.dribbble.com/users/1615584/screenshots/17393864/web_1920___395_1x.jpg	C:/Mes%20Sites%20Web/Exercice%20Ecole%20241/cdn.dribbble.com/users/1615584/screenshots/17393864/web_1920___395_1x.jpg	(from https://cuberto.com/)
22:57:51	105427/105427	---M--	200	added ('OK')	image/jpeg	date:Fri,%2028%20Jan%202022%2014:23:26%20GMT	https://scontent.cdninstagram.com/v/t51.29350-15/272732314_345132860741002_2489207686172587008_n.jpg?_nc_cat=110&ccb=1-5&_nc_sid=8ae9d6&_nc_ohc=2gvk8A1tzPEAX-iRwQk&_nc_ht=scontent.cdninstagram.com&edm=ANo9K5cEAAAA&oh=00_AT8ObvETO5TFx94-Dz7xxSjaEgOT_KJGHWQGYwJ6MX9cRA&oe=622A890B	C:/Mes%20Sites%20Web/Exercice%20Ecole%20241/scontent.cdninstagram.com/v/t51.29350-15/272732314_345132860741002_2489207686172587008_nec24.jpg	(from https://cuberto.com/)
22:57:52	62126/62126	---M--	200	added ('OK')	image/png	etag:%2272ac99fbe361d7fd35f0db45313bab20ac16afb0%22	https://cdn.dribbble.com/users/4859/screenshots/17379144/act4_3_dr_1x.png	C:/Mes%20Sites%20Web/Exercice%20Ecole%20241/cdn.dribbble.com/users/4859/screenshots/17379144/act4_3_dr_1x.png	(from https://cuberto.com/)
22:57:54	158752/158752	---M--	200	added ('OK')	image/png	etag:%228ede7bb620fb408573370d9b60e3e4ef44fc3c9e%22	https://cdn.dribbble.com/users/4859/screenshots/17361020/flwr_angle_1600_1200_1x.png	C:/Mes%20Sites%20Web/Exercice%20Ecole%20241/cdn.dribbble.com/users/4859/screenshots/17361020/flwr_angle_1600_1200_1x.png	(from https://cuberto.com/)
22:57:55	59972/59972	---M--	200	added ('OK')	image/png	etag:%229bbb67f67dc78efeb4eb78b2f37902782a9ccb12%22	https://cdn.dribbble.com/users/4859/screenshots/17344794/perform_web_dr_1x.png	C:/Mes%20Sites%20Web/Exercice%20Ecole%20241/cdn.dribbble.com/users/4859/screenshots/17344794/perform_web_dr_1x.png	(from https://cuberto.com/)
22:57:55	16660/16660	---M--	200	added ('OK')	image/jpeg	etag:%22612de50005db95cf3447935960aedaed0a6be5c4%22	https://cdn.dribbble.com/users/1615584/screenshots/17305604/crypto_mobile_app_design_1x.jpg	C:/Mes%20Sites%20Web/Exercice%20Ecole%20241/cdn.dribbble.com/users/1615584/screenshots/17305604/crypto_mobile_app_design_1x.jpg	(from https://cuberto.com/)
